name,type,x,y,z,roll,pitch,yaw
cone_left29,blue,-2.8605586569290504,-2.2190004944781334,0.0,0.0,0.0,0.0
cone_orange1,orange,-11.25,1.65,0.0,0.0,0.0,0.0
cone_orange2,orange,-11.25,-1.65,0.0,0.0,0.0,0.0
cone_orange3,orange,-15.0,1.65,0.0,0.0,0.0,0.0
cone_orange4,orange,-15.0,-1.65,0.0,0.0,0.0,0.0
cone_orange5,orange,11.0,1.65,0.0,0.0,0.0,0.0
cone_orange6,orange,11.0,-1.65,0.0,0.0,0.0,0.0
cone_orange7,orange,16.0,1.65,0.0,0.0,0.0,0.0
cone_orange8,orange,16.0,-1.65,0.0,0.0,0.0,0.0
cone_orange9,orange,21.0,1.65,0.0,0.0,0.0,0.0
cone_orange10,orange,21.0,-1.65,0.0,0.0,0.0,0.0
cone_orange11,orange,21.0,0.0,0.0,0.0,0.0,0.0
cone_orange12,orange,21.0,1.65,0.0,0.0,0.0,0.0
cone_orange_big1,orange_big,-1.3,2.0,0.0,0.0,0.0,0.0
cone_orange_big2,orange_big,-1.3,-2.0,0.0,0.0,0.0,0.0
cone_orange_big3,orange_big,1.3,2.0,0.0,0.0,0.0,0.0
cone_orange_big4,orange_big,1.3,-2.0,0.0,0.0,0.0,0.0
